"","x"
"1",2.18507295252931
"2",1.64258759759714
"3",1.41655436205136
"4",1.34524399313373
"5",1.26689086428744
"6",1.19190705888394
"7",1.07776535447814
"8",0.982321653438224
"9",0.919571189952785
"10",0.875170191929989
"11",0.707252371891436
"12",0.617667196545426
"13",0.556214829017339
"14",0.496347542380254
