"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Question1_Theme1",0.26045249301914,-0.562081570437034,-0.597706212084409,-0.235135268053262,-0.0251769992372662,0.39211231774392,0.135237936713221,0.142679288893113,-0.10322241416372
"Question1_Theme2",0.153939689497818,0.452093701767387,-0.0470704684930134,0.115867363948821,0.619727485162434,0.465788983596932,0.379842274159266,-0.0831113425496119,-0.0637479425713237
"Question1_Theme3",0.337530561531807,0.0736238535954877,-0.172974467481858,-0.43282033389425,0.517486907340353,-0.475118586182298,-0.400391207007812,-0.0487545208575048,-0.0847263136401307
"Question2_Theme1",0.641353244934722,-0.409485457775242,0.475367008627352,0.358515497147838,0.0654749067192966,-0.0276884221151687,0.0383990515988064,-0.223225968718151,-0.100611073410693
"Question2_Theme2",-0.157899622752517,-0.015950000534205,-0.146078454002969,0.00434450410074605,-0.0739721153137775,-0.376828762912075,0.460795778920168,-0.305365009312059,-0.707391820699926
"Question2_Theme3",0.0565845747343807,-0.106224828379173,-0.132984076719083,0.248354704740723,0.17934324501539,-0.491095511632069,0.492947291422513,0.507538626225761,0.363618422801331
"Question3_Theme1",0.472937052319075,0.375414490730574,0.200863318272109,-0.504147589500363,-0.451039004243509,0.0137392379384916,0.303514176482313,0.212082625557182,-0.0126013757132935
"Question3_Theme2",-0.0415732314462787,-0.105963304223027,-0.0737927285958421,-0.257481134601462,-0.0202784151185103,-0.091869875843391,0.301915242442429,-0.69704743173018,0.57395323782349
"Question3_Theme3",0.360103196498944,0.377987304913891,-0.547560569192104,0.48296904228342,-0.318968696457393,-0.104788713745889,-0.19245646387161,-0.197055526890774,0.0760101140942507
